manager,안전원고시 제2020-7호[고시],안전원고시 제2020-6호[고시],안전원고시 제2020-9호[고시],안전원고시 제2020-8호[고시],안전원고시 제2020-5호[고시],안전원고시 제2020-10호[고시],안전원고시 제2019-11호[고시],안전원고시 제2020-11호[고시],안전원고시 제2020-12호[고시],안전원고시 제2021-2호[고시],안전원고시 제2021-3호[고시],안전원고시 제2022-2호[고시],안전원고시 제2021-5호[고시],안전원고시 제2021-1호[고시],안전원고시 제2021-7호[규정],안전원고시 제2021-2호[규정],안전원고시 제2021-3호[규정],안전원고시 제2021-8호[규정],안전원고시 제2021-9호[규정],장외영향평가서 작성 등에 관한 규정,장외영향평가서 이행 등에 관한 규정,장외영향평가서 검토 등에 관한 규정,위해관리계획서 작성 등에 관한 규정,위해관리계획서 검토 등에 관한 규정,위해관리계획서 이행 등에 관한 규정
기타(추출 안된 담당자),12,13,3,20,27,1,1,5,0,0,0,0,20,60,19,0,1,10,3,6,2,8,8,6,4
곽솔림,18,17,2,30,61,5,2,11,4,3,0,0,14,56,2,0,1,4,1,2,0,3,0,0,0
김남석,10,5,3,5,35,1,0,0,0,0,0,0,30,59,0,0,1,0,0,4,0,8,1,1,0
김민수,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,4,16,16,2
김승하,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,4,2,1,0,1,2,2,1
김원종,0,1,0,5,5,0,0,1,0,0,0,0,2,5,2,0,0,2,0,0,0,1,1,1,0
김인자,0,0,0,0,3,0,0,0,0,0,0,0,0,0,24,0,7,25,0,7,0,8,4,5,0
김종구,19,47,1,43,98,1,1,5,3,0,0,0,38,97,0,0,3,0,0,10,3,7,1,2,1
박중돈,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14,16,4
신은수,14,26,2,56,105,5,7,16,10,3,0,0,17,64,0,0,2,2,0,2,0,5,0,2,0
윤진선,0,1,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
이경희,1,1,1,2,3,0,0,0,0,0,0,0,2,5,2,0,0,2,2,0,0,0,0,0,0
이선민,8,3,3,12,20,2,1,3,1,0,0,0,5,8,1,0,0,2,0,0,0,0,0,0,0
이세용,1,6,0,3,2,0,0,0,0,0,0,0,6,18,0,0,0,0,0,0,0,0,0,0,0
이연희,14,25,3,27,70,2,2,14,3,5,0,0,26,62,0,0,0,1,0,6,0,11,0,0,0
이은미,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,5,24,12,5
이은별,46,88,12,97,334,10,3,18,4,0,0,0,200,481,0,0,13,0,0,37,7,16,9,9,1
이희성,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,1,1,10,5,3
임형준,9,9,3,17,34,3,2,6,2,2,1,0,9,29,3,0,1,3,0,1,0,1,0,0,0
장유진,0,0,0,0,2,0,0,0,0,0,0,0,0,2,6,0,1,6,0,1,0,2,0,0,0
전다영,0,5,0,7,2,1,0,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0
정순원,0,0,0,0,5,0,0,0,0,0,1,0,0,1,37,0,5,40,1,15,1,16,7,8,1
정인희,2,9,0,11,18,1,0,2,0,0,0,0,3,15,0,0,1,0,0,1,1,4,0,0,0
정재형,3,2,1,5,24,2,1,2,3,0,0,0,5,13,0,0,0,0,0,0,0,0,0,0,0
최민영,1,1,1,0,6,0,0,0,0,0,0,0,4,9,0,0,2,0,0,10,1,7,1,1,0
허화진,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
